model,dataset,decos,cosine,recos,gain_recos_minus_cos
Word2Vec,STS12,53.07,52.78,52.8,0.01999999999999602
Word2Vec,STS13,69.63,70.12,70.14,0.01999999999999602
Word2Vec,STS14,65.42,65.74,65.77,0.030000000000001137
Word2Vec,STS15,75.19,75.54,75.55,0.009999999999990905
Word2Vec,STS16,67.09,67.69,67.69,0.0
Word2Vec,STS-B,64.3,64.51,64.53,0.01999999999999602
Word2Vec,SICK-R,57.83,58.0,58.06,0.060000000000002274
FastText,STS12,58.41,58.55,58.55,0.0
FastText,STS13,71.22,71.66,71.98,0.3200000000000074
FastText,STS14,64.69,65.23,65.58,0.3499999999999943
FastText,STS15,73.49,74.03,74.37,0.3400000000000034
FastText,STS16,63.95,64.49,64.79,0.30000000000001137
FastText,STS-B,63.7,63.99,64.32,0.3299999999999912
FastText,SICK-R,56.48,56.62,56.71,0.09000000000000341
GloVe,STS12,57.35,57.49,57.68,0.18999999999999773
GloVe,STS13,70.75,70.99,71.37,0.38000000000000966
GloVe,STS14,59.84,60.7,61.44,0.7399999999999949
GloVe,STS15,70.42,70.85,71.09,0.2400000000000091
GloVe,STS16,63.41,63.84,64.14,0.29999999999999716
GloVe,STS-B,50.41,50.74,51.29,0.5499999999999972
GloVe,SICK-R,55.31,55.42,55.62,0.19999999999999574
BERT,STS12,72.54,72.52,72.52,0.0
BERT,STS13,77.93,78.05,78.3,0.25
BERT,STS14,73.73,73.86,74.01,0.15000000000000568
BERT,STS15,79.43,79.48,79.66,0.1799999999999926
BERT,STS16,74.43,74.47,74.57,0.09999999999999432
BERT,STS-B,76.71,76.74,76.82,0.0799999999999983
BERT,SICK-R,73.53,73.54,73.64,0.09999999999999432
SGPT,STS12,66.27,66.44,66.54,0.10000000000000853
SGPT,STS13,69.96,70.13,70.15,0.020000000000010232
SGPT,STS14,63.5,63.71,63.79,0.0799999999999983
SGPT,STS15,75.29,75.54,75.58,0.03999999999999204
SGPT,STS16,71.6,71.75,71.75,0.0
SGPT,STS-B,72.69,72.89,72.92,0.030000000000001137
SGPT,SICK-R,67.68,68.0,68.08,0.0799999999999983
DPR,STS12,47.92,47.96,49.09,1.1300000000000026
DPR,STS13,63.88,63.97,64.11,0.14000000000000057
DPR,STS14,53.16,53.22,53.74,0.5200000000000031
DPR,STS15,67.21,67.25,67.4,0.15000000000000568
DPR,STS16,66.55,66.7,67.28,0.5799999999999983
DPR,STS-B,58.46,58.53,59.22,0.6899999999999977
DPR,SICK-R,62.39,62.45,63.78,1.3299999999999983
E5,STS12,60.42,60.42,60.7,0.28000000000000114
E5,STS13,70.0,70.0,70.16,0.1599999999999966
E5,STS14,65.3,65.3,65.44,0.14000000000000057
E5,STS15,74.92,74.92,75.05,0.12999999999999545
E5,STS16,77.43,77.43,77.44,0.009999999999990905
E5,STS-B,73.53,73.53,73.57,0.03999999999999204
E5,SICK-R,68.86,68.86,68.93,0.07000000000000739
BGE,STS12,49.97,49.97,50.28,0.3100000000000023
BGE,STS13,32.19,32.19,31.88,-0.3099999999999987
BGE,STS14,33.64,33.64,33.82,0.17999999999999972
BGE,STS15,35.01,35.01,35.12,0.10999999999999943
BGE,STS16,63.81,63.81,63.94,0.12999999999999545
BGE,STS-B,65.61,65.61,65.71,0.09999999999999432
BGE,SICK-R,57.94,57.94,57.99,0.05000000000000426
GTE,STS12,74.81,74.82,75.0,0.18000000000000682
GTE,STS13,86.63,86.64,86.77,0.12999999999999545
GTE,STS14,78.74,78.76,78.98,0.21999999999999886
GTE,STS15,85.38,85.39,85.5,0.10999999999999943
GTE,STS16,83.1,83.1,83.17,0.07000000000000739
GTE,STS-B,85.42,85.42,85.45,0.030000000000001137
GTE,SICK-R,75.72,75.72,75.72,0.0
SPECTER,STS12,62.45,62.49,63.01,0.519999999999996
SPECTER,STS13,58.62,58.7,59.7,1.0
SPECTER,STS14,54.82,54.87,55.45,0.5800000000000054
SPECTER,STS15,62.49,62.54,63.1,0.5600000000000023
SPECTER,STS16,64.27,64.28,64.47,0.18999999999999773
SPECTER,STS-B,61.23,61.26,61.5,0.240000000000002
SPECTER,SICK-R,56.36,56.39,56.71,0.3200000000000003
CLIP-ViT,STS12,76.71,76.92,77.39,0.46999999999999886
CLIP-ViT,STS13,63.1,63.96,64.81,0.8500000000000014
CLIP-ViT,STS14,57.15,57.98,59.34,1.3600000000000065
CLIP-ViT,STS15,65.58,66.19,67.55,1.3599999999999994
CLIP-ViT,STS16,72.08,72.41,72.78,0.37000000000000455
CLIP-ViT,STS-B,64.8,65.29,66.53,1.2399999999999949
CLIP-ViT,SICK-R,69.89,70.53,71.61,1.0799999999999983
